-0.3779969228	-0.4348357180	0.8173348302
-0.3940891427	-0.5062297944	0.7675637843
-0.3675103287	-0.5307523182	0.7642080224
-0.4073448157	-0.5993896944	0.6903117227
-0.4308217527	-0.6634073226	0.6138740383
-0.4248213653	-0.6932454618	0.5846122453
-0.3832180423	-0.7619442657	0.5252689207
-0.3602594020	-0.8206938250	0.4477637215
-0.3174366692	-0.8581428231	0.4084500684
-0.3610876033	-0.7923344308	0.4953330890
-0.3148550931	-0.8332398264	0.4586236159
-0.2462440186	-0.9001165331	0.3651310793
-0.1937229056	-0.9354525281	0.3028330401
-0.0957748908	-0.9595406636	0.2728504288
-0.0084926432	-0.9731605243	0.2392287789
0.0408217717	-0.9739779674	0.2324690423
0.0737523283	-0.9808745556	0.1916905837
0.0808074782	-0.9828803971	0.1780219243
0.1121532309	-0.9843562746	0.1505868785
0.1657768755	-0.9801317425	0.1264882654
0.2011114767	-0.9711305883	0.1437097127
0.2175886024	-0.9734354495	0.0954010859
0.1944985540	-0.9822894770	0.0312583259
0.1600222464	-0.9880071878	-0.0381926538
0.1492743351	-0.9870305435	-0.0797801320
0.1939848172	-0.9707991756	-0.1487202639
0.2275952268	-0.9480023459	-0.2253582696
0.2836081411	-0.9161898720	-0.2840029646
0.3172973460	-0.8765242418	-0.3610154658
0.2963799082	-0.8463281646	-0.4402276589
0.2688446199	-0.8081767431	-0.5204833141
0.2438395048	-0.7733601061	-0.5809297807
0.2194018887	-0.7359690027	-0.6355853131
0.2088260489	-0.7004930533	-0.6770832811
0.1841720568	-0.6732196550	-0.7104548303
0.1609387365	-0.6313878171	-0.7524788910
0.1599274493	-0.6010515405	-0.7767063838
0.1737810649	-0.5579467632	-0.8048705105
0.2103420416	-0.5206148218	-0.8207207352
0.2427389495	-0.5253352188	-0.8088923993
0.2129964970	-0.5696850089	-0.7873421294
0.2524279513	-0.6064192041	-0.7479535024
0.2632403955	-0.6355185331	-0.7200422922
0.3104241040	-0.6657066393	-0.6732808843
0.3214584889	-0.6862403910	-0.6474634017
0.3819053927	-0.6777728837	-0.6235497631
0.4310576138	-0.7034220943	-0.5611140618
0.5017937186	-0.6659027558	-0.5481966477
0.5844728244	-0.6652914550	-0.4618254466
0.6444667723	-0.6489817779	-0.4025920993
0.6964077293	-0.6118091393	-0.3738925780
0.7408491556	-0.6042218276	-0.2939537784
0.7793081931	-0.5958261038	-0.1982484730
0.8007996827	-0.5947263300	-0.0884275456
0.7399857006	-0.6733351798	-0.0468656143
0.6662767638	-0.7478126461	-0.0156286425
0.6451729052	-0.7661674555	0.0191035031
0.6002848813	-0.7966049432	0.0954010859
0.5227886438	-0.8464669504	0.1195891567
0.4667358287	-0.8704586419	0.1694618462
0.4290891035	-0.8876134426	0.1797323918
0.3470946321	-0.9185592906	0.2002153117
0.3203922964	-0.9357893207	0.1608893482
0.2994143307	-0.9325664485	0.2121249716
0.2458441814	-0.9574998690	0.1643197959
0.1868778607	-0.9704429711	0.1660343007
0.1272851697	-0.9800415198	0.1660343007
0.1163471336	-0.9614409056	0.2577584747
